x;y;index;emptycolumn;Produkt;Firma;Typ;nodesize;Info;Lerninhalte;Lernart;Format;Mobile;webadresse;gesamtzeit;Nuggets;Zeit fuer kleinste UE;Content_oder_Software;Lernweg;Awards;emptycolumn2
;;31;;Pink University;Pink University;Web;5;Betriebliche Weiterbildung + Blended Learning;ka;formell;html;nein;https://www.pinkuniversity.de/;ka;ja;ka;Content;Mischform;kein;
;;32;;Provadis;Provadis;Software;5;Schulung Industrie + Komponentenerkennung per Cam, LMS + AR;Anwenden;formell;html + App;ja;https://www.provadis.de/;ka;ja;ka;beides;Mischform;kein;
;;33;;Prozubi;Prozubi;Web;5;Kaufmaennische Ausbildung;Verstehen;formell;html + App;ja;https://prozubi.de/;ka;ja;ka;Content;Mischform;kein;
;;34;;Rosetta Stone;Rosetta Stone;Mobile;5;Sprachen, blended learning mgl. (online tutor);Anwenden;formell;Software + App;ja;https://www.rosettastone.de/;ka;nein;20 min;Content;Mischform;kein;
;;35;;TriCAT;TriCAT;Software;5;Virtuelle 3D Lern- und Arbeitswelten;Verstehen;ka;Software;nein;https://www.tricat.net/;ka;ka;ka;Dienstleister;ka;kein;
;;36;;oncampus;oncampus;LMS;5;MOOC;ka;ka;html;nein;https://www.oncampus.de/;ka;ka;ka;Content;E-Learning by distribution;kein;
;;37;;DM Signale;DB Training;Mobile;5;Quiz App;Verstehen;informell;App;ja;https://www.db-training.de/dbtraining-de/Services/DB-Training-Apps/Signal-Wissen-to-go-mit-der-DB-Signale-App-2073326;ka;ja;ka;Content;E-Learning by interaction;kein;
;;38;;DB Lernbegleiter;DB Training;Mobile;5;DB Lernbegleiter App fuer Ausbilder und Berater;ka;ka;App;ja;https://www.db-training.de/dbtraining-de/Services/DB-Training-Apps/DB-Lernbegleiter-App-fuer-Ausbilder-Berater--2073330;ka;ja;ka;Content;E-Learning by distribution;kein;
;;39;;DB LMS;DB Training;Web;5;Komplettloesung (App + Karteikarten+Webinare);ka;ka;html;nein;https://www.newlearningsolutions.de/;ka;ka;ka;Dienstleister;E-Learning by distribution;kein;
;;40;;Tec2Screen;Festo;Mobile;5;Mess- Simulation- und Programmierumgebung;Analyse / Synthese / Bewertung;Mischform;App;ja;https://tinyurl.com/y3tk2wp2;ka;ka;ka;beides;E-Learning by interaction;kein;
